time (yyyy MM dd),absolute_f15 (solar flux unit (SFU)),absolute_f15_c (solar flux unit (SFU)),absolute_f15_p (solar flux unit (SFU)),absolute_f15_f,adjusted_f15 (solar flux unit (SFU)),adjusted_f15_c (solar flux unit (SFU)),adjusted_f15_p (solar flux unit (SFU)),adjusted_f15_f
1951 11 1,86.5,86.5,2.4,2,85.2,85.2,2.4,2
1951 11 2,84.5,84.5,2.4,2,83.2,83.2,2.4,2
1951 11 3,83.6,83.6,2.4,2,82.2,82.2,2.4,2
1951 11 4,80.2,80.2,2.4,2,78.8,78.8,2.4,2
1951 11 5,87.5,87.5,2.4,2,86.0,86.0,2.4,2
1951 11 6,91.0,91.0,2.4,2,89.3,89.3,2.4,2
1951 11 7,89.9,89.9,2.5,2,88.2,88.2,2.4,2
1951 11 8,90.3,90.3,2.5,2,88.6,88.6,2.4,2
1951 11 9,90.0,90.0,2.5,2,88.2,88.2,2.4,2
1951 11 10,90.7,90.7,2.5,2,88.8,88.8,2.4,2
1951 11 11,91.8,91.8,2.5,2,89.9,89.9,2.4,2
1951 11 12,86.5,86.5,2.5,2,84.6,84.6,2.4,2
1951 11 13,80.8,80.8,2.5,2,79.1,79.1,2.4,2
1951 11 14,78.0,78.0,2.5,2,76.2,76.2,2.4,2
1951 11 15,79.0,79.0,2.5,2,77.2,77.2,2.4,2
1951 11 16,80.5,80.5,2.5,2,78.6,78.6,2.4,2
1951 11 17,79.9,79.9,2.4,2,78.1,78.1,2.4,2
1951 11 18,79.7,79.7,2.4,2,77.8,77.8,2.4,2
1951 11 19,78.3,78.3,2.4,2,76.4,76.4,2.4,2
1951 11 20,78.1,78.1,2.4,2,76.2,76.2,2.4,2
1951 11 21,78.5,78.5,2.4,2,76.6,76.6,2.4,2
1951 11 22,78.7,78.7,2.4,2,76.7,76.7,2.4,2
1951 11 23,80.4,80.4,2.4,2,78.3,78.3,2.4,2
1951 11 24,79.8,79.8,2.4,2,77.7,77.7,2.4,2
1951 11 25,79.9,79.9,2.4,2,77.8,77.8,2.4,2
1951 11 26,80.7,80.7,2.4,2,78.6,78.6,2.4,2
1951 11 27,82.4,82.4,2.4,2,80.2,80.2,2.4,2
1951 11 28,82.5,82.5,2.4,2,80.3,80.3,2.4,2
1951 11 29,83.8,83.8,2.4,2,81.5,81.5,2.4,2
1951 11 30,85.5,85.5,2.4,2,83.0,83.0,2.3,2
1951 12 1,86.8,86.8,2.4,2,84.4,84.4,2.4,2
1951 12 2,82.1,82.1,2.4,2,79.7,79.7,2.3,2
1951 12 3,77.8,77.8,2.4,2,75.5,75.5,2.3,2
1951 12 4,74.7,74.7,2.4,2,72.5,72.5,2.3,2
1951 12 5,72.1,72.1,2.4,2,69.9,69.9,2.3,2
1951 12 6,69.8,69.8,2.4,2,67.7,67.7,2.3,2
1951 12 7,67.9,67.9,2.4,2,65.8,65.8,2.3,2
1951 12 8,70.0,70.0,2.4,2,67.9,67.9,2.3,2
1951 12 9,71.8,71.8,2.4,2,69.6,69.6,2.3,2
1951 12 10,69.4,69.4,2.4,2,67.2,67.2,2.3,2
1951 12 11,70.9,70.9,2.4,2,68.7,68.7,2.3,2
1951 12 12,70.7,70.7,2.3,2,68.5,68.5,2.3,2
1951 12 13,72.1,72.1,2.3,2,69.8,69.8,2.3,2
1951 12 14,74.7,74.7,2.3,2,72.3,72.3,2.3,2
1951 12 15,79.6,79.6,2.3,2,77.0,77.0,2.3,2
1951 12 16,81.9,81.9,2.3,2,79.3,79.3,2.3,2
1951 12 17,83.8,83.8,2.3,2,81.1,81.1,2.2,2
1951 12 18,83.0,83.0,2.3,2,80.3,80.3,2.2,2
1951 12 19,81.9,81.9,2.3,2,79.2,79.2,2.2,2
1951 12 20,88.9,88.9,2.3,2,86.0,86.0,2.2,2
1951 12 21,94.0,94.0,2.3,2,90.9,90.9,2.3,2
1951 12 22,101.1,101.1,2.4,2,97.7,97.7,2.3,2
1951 12 23,100.1,100.1,2.4,2,96.8,96.8,2.3,2
